first_name,last_name,hire_date
Eran,Cusworth,11/14/1986
Bojan,Zallocco,10/14/1986
Nevio,Demizu,5/18/1986
Ziva,Vecchi,03/07/1986
Mohit,Speek,1/14/1986
Qunsheng,Speer,2/13/1986
Dines,Encarnacion,02/08/1986
Harngdar,Swick,5/28/1986
Freyja,Uhrig,12/20/1986
Zhenhua,Milicic,04/08/1986
Bowen,Schmezko,5/30/1986
Reuven,Munke,4/13/1986
Stabislas,Domenig,04/08/1986
Juichirou,Jumpertz,9/18/1986
Juichirou,Ghelli,12/13/1986
Shmuel,Georg,11/30/1986
Xiadong,Bach,4/29/1986
Guangming,Butterworth,01/10/1986
Irene,Setia,10/08/1986
Shuichi,Swiler,08/06/1986
Terresa,Perez,12/09/1986
Lidong,Borovoy,5/30/1986
Teiji,Eickenmeyer,03/09/1986
Baocai,Kroha,10/27/1986
Morrie,Sridhar,04/03/1986
Taegyun,Speckmann,12/28/1986
Stabislas,McFarlin,7/19/1986
Apostol,Ghelli,07/04/1986
Khun,Kuszyk,6/30/1986
Conor,Flanders,2/21/1986
Radhakrishnan,Albarhamtoshy,07/05/1986
Shigeu,Denna,10/04/1986
Uta,Frolund,1/22/1986
Zhiwei,Kaminger,04/07/1986
Sven,Krider,9/25/1986
Yannik,Vakili,09/11/1986
Khatoun,Zeilberger,1/31/1986
Fox,Erva,06/05/1986
Huai,Birrer,3/28/1986
Kristine,Litzler,09/01/1986
Eirik,Farrel,9/19/1986
Wayne,Levergood,05/05/1986
Chrisa,Cullers,1/28/1986
Manton,Perko,6/18/1986
Etsuo,Ratzlaff,1/15/1986
Odysseas,Erie,06/02/1986
Ingmar,Lambe,10/21/1986
Marin,Ashish,11/07/1986
JiYoung,Delaune,04/09/1986
Sandeepan,Sidou,1/19/1986
Neven,Leivant,02/09/1986
Sarita,Hofting,03/07/1986
Kolar,Karunanithi,06/12/1986
Shmuel,Impagliazzo,2/19/1986
Bedrich,Delaune,06/04/1986
Susanne,Asser,05/08/1986
Syozo,Sommen,3/25/1986
Ashish,Ventosa,8/14/1986
Ingmar,Pollacia,8/21/1986
Shrikanth,Ramalingam,10/03/1986
Rimli,Mahnke,4/17/1986
Adib,Chepyzhov,10/11/1986
Florina,Kavvadias,12/14/1986
Kiyomitsu,Bottner,07/11/1986
Berni,Thorelli,05/08/1986
Fumiya,Vilarrasa,6/27/1986
Remzi,Speckmann,05/11/1986
Georgi,Middleton,11/24/1986
Zejun,Anandan,3/19/1986
Kamakshi,Lipner,8/17/1986
Hyuncheol,Chaudhuri,09/07/1986
Chandrasekaran,Kaiser,12/30/1986
Bedir,Bashian,05/10/1986
Takahira,Spieker,05/06/1986
Krassimir,Sgarro,04/08/1986
Maya,Ghemri,12/06/1986
Eishiro,Dichev,4/29/1986
Hausi,Kambil,03/07/1986
Feipei,Clouatre,05/03/1986
Susumu,Kuszyk,12/12/1986
Stein,Kulisch,11/06/1986
Gen,Lundstrom,5/29/1986
Reinhard,Serre,7/14/1986
Alain,Fujisaki,07/04/1986
Alain,Dratva,4/23/1986
Claudi,Spieker,4/23/1986
Dulce,Ebeling,3/18/1986
Jayson,Perri,3/23/1986
Steen,Hofman,08/10/1986
Mads,Legleitner,11/07/1986
Gio,Schauser,10/23/1986
Takanari,Beznosov,10/06/1986
Gita,Dichev,01/11/1986
Barna,Mamelak,1/17/1986
Junsik,Sinitsyn,11/21/1986
Snehasis,Anily,03/03/1986
Behnaam,Schwartzbauer,10/17/1986
Shem,Petersohn,08/07/1986
Mokhtar,Chiodo,06/04/1986
Serif,Streit,3/17/1986
Teiji,Marrakchi,8/26/1986
Nathan,Denny,9/16/1986
Hauke,Giaccio,12/12/1986
Aral,Baik,3/29/1986
Seongbin,Poupard,9/29/1986
Tze,Chinin,9/22/1986
Joydip,Terkki,01/03/1986
Jeanne,Zlotek,03/09/1986
Mikhail,Karner,5/15/1986
